product_name,description,price,image-src,on_sale_price,platform
JoJo’s Bizarre Adventure All-Star Battle R,"All JOJOs Unite! Fight for Your Destiny!
Well known for its charismatic heroes, striking art style, and unforgettable catch phrases (“Yare yare daze…”), JoJo’s Bizarre Adventure is coming to PlayStation®5, PlayStation®4, Xbox Series X|S, Xbox One, Nintendo Switch and PC!
Stunning visuals authentic to Hirohiko Araki’s Style


JoJo’s Bizarre Adventure: All Star Battle R captures the passionate character expressions that are vintage JoJo, allowing you to experience the JoJo universe with powerful imagery as if Hirohiko Araki's manga had come to life. Now you can freely move the characters created by Hirohiko Araki with your own hands, and feel as if you've have started your own bizarre adventure!
50 playable characters from all JoJo arcs


Jonathan Joestar, Jotaro Kujo, DIO, Jolyne Cujoh, and other characters from JoJo's Bizarre Adventure gather across multiple generations! With 50 playable characters from all arcs, you can experience popular battles from each story, and see characters from different universes interact for the first time!
A variety of game modes


This title consists of All Star Battle Mode, Arcade Mode, Online Mode, Versus Mode, Practice Mode, and Gallery Mode. The main mode, All Star Battle Mode, features not only clashes between characters from the original game, but also brand new battles that are unique to All Star Battle R. You can play through over 100 battles with various settings and conditions. This mode also offers special cosmetic skins for characters and unique illustrations that can be enjoyed in gallery mode.
How the game has evolved from the original All Star Battle


This title is based on the All Star Battle fighting system that was released in 2012.The game design of JoJo’s Bizarre Adventure: All Star Battle R reinvigorates the experience with adjustments to the fighting tempo and the addition of hit stops and jump dashes. With new audio recordings from the Part 6 anime voice actors, the full atmosphere of the animated series is realized.
Both fans who have played the original All Star Battle and newcomers will be able to enjoy the experience.",39.99,https://static-ca.gamestop.ca/images/products/771028/3max.jpg,,PS5
White Day: A Labyrinth Named School,"Starting a new school is never easy, especially when it's one plagued by rumours of violent murders and vengeful spirits. Forget the sweats brought on by surprise maths tests: the horrors roaming the halls of Yeondoo High School can outright kill you.Unfortunately, when a good deed for a fellow student goes wrong you're locked in with them all overnight. With not even a pointy pencil to hide behind you've got to carefully creep through the dark corridors and lecture halls in a psychological first-person frightfest brimming with supernatural terrors, hidden secrets and classic survival horror genre puzzles. All the while, a killer janitor stalks your every move as you make a frantic bid for freedom.Can you keep your nerve and mastermind a way out of the nightmare? Or will your name be scratched off the next morning's roll call sheet and added to the growing list of victims the building has claimed?A Classic Horror For A New Generation – The cult-classic, first-person Korean survival horror considered by many to be the scariest game in history returns by popular demand. Completely rebuilt for modern gamers, and finally localized for a western audience, White Day: A Labyrinth Named School is a true videogame nasty.Spine-Tingling Story – Trapped inside your school at night, you and your fellow classmates must carefully explore the twisting corridors by torchlight, hiding from possessed stalkers and running from evil spirits as you try to escape. With branching dialogue, collectable ghost stories and multiple endings dependent on your choices, White Day: A Labyrinth Named School will chill you to the core many times over.Mind-Bending Puzzles – Thanks to an environment filled with classically-styled survival horror puzzles, White Day tests your brain as much as your run button. Collect items, solve riddles and race against the clock to save your friends from certain doom and unpick the secrets of the school.Cheaters Never Prosper – This school’s wise to those who want to take shortcuts! Puzzle solutions change every time, so pack away all thoughts of skipping the scary bits with a guide…Innovative Dynamic Scare System – Want to just enjoy the story? Play on Easy to enjoy the adventure without the challenge. Eager to prove your bravery? Increase the difficulty setting to ramp up the scares and ghost activities, with hauntings ready to spring when you least expect it! Limited save tokens and healing items guarantee an edge-of-your-seat thrill ride.",49.99,https://static-ca.gamestop.ca/images/products/772205/3max.jpg,39.99,PS5
Soulstice Deluxe Edition,"The balance of the Holy Kingdom of Keidas is compromised when powerful, feral creatures known as “Wraiths” invade from the other side of the Veil, threatening to consume the living. Wraiths corrupt their victims and can even possess their bodies, turning into unstoppable monsters that prey upon the common folk. The “Chimeras”, hybrid warriors born of the union of two souls, are the only ones who can protect humankind.Briar and Lute are two sisters who have been reborn as a Chimera. The transformation has granted Briar superhuman strength and resilience, while Lute, who was sacrificed in order to bind her soul to her sister’s, has become a ghost with mystical powers. Voiced by Stefanie Joosten (Metal Gear Solid 5), Briar and Lute are sent on a mission to reclaim a city in ruins that has been ravaged by the Wraiths, only to discover that the Order they belong to has a far more complex plan in mind.Explore a dark world brimming with hidden mysteries, master a diverse combat system, and inhabit the dual forces of two sisters in a coming-of-age fantasy story with fast-paced action, vicious enemies and breathtaking boss fights.Fight in synergy - Manage both characters simultaneously. Briar masters melee attacks and combos, while Lute controls the battlefield with her otherworldly abilities. Combine their strengths to unlock powerful transformations and fulfill their true potential as a Chimera.Customize weapons and abilities - Weapons are unlocked and upgraded throughout the game and can be switched even in the middle of a combo to deal greater damage to opponents.Explore the city of Ilden - Discover puzzles and secrets in diverse locations within a troubled city in ruins. A Tear in the Sky has opened above Ilden; as Briar and Lute get closer to it, their surroundings become more menacing and twisted.Experience a grim world - Plunge into a dark story of sisterly love heightened by stylish and sleek art inspired by classic Japanese fantasy.Combat different enemy classes - Wraiths, Corrupted and Possessed have trespassed into the world from beyond the Veil. Use Lute’s auras to weaken or expose them and adapt to a flow of battle that never feels the same.Uncover the truth of your origin - Throughout the game, Briar and Lute will discover the truth about themselves and their power but must work together to stay true to their unbreakable bond.",39.99,https://static-ca.gamestop.ca/images/products/770609/3max.jpg,32.99,PS5
Slaycation Paradise,"Time for a getaway? Our expert team of travel agents nestled deep in the heart of the galaxy are ready and waiting to warp you away to the alternate Earth action scenario of a lifetime. Explore beautiful and chaotic holiday destinations with an all inclusive arsenal of bizarre and brutal weapons for that fully loaded firepower feeling! Kick back and slay all your worries away with Slaycation Paradise!Twinstick shooting & Tower Defense! – Taking the best of each genre to create an engaging and addictive gameplay loop where hordes of bloodthirsty enemies are waiting to welcome you to the party!Apocalypse a-plenty! – Discover alternate Earths all going through crazy End-of-Days type scenarios perfectly designed for the best in family vacation entertainment.Weird & Wonderful Weapons! – Enjoy an apocalypse-proof weapon selection from the classic pump shotgun and  flamethrower, to the weird and wonderful cat-launcher, magic wands and many more.Tailor your very own Tower Defense set-up - Free to all visitors is the simply swell Construction Assembly Turret (C.A.T. kit), providing custom defense structures anywhere you like. Perfect for all your defensive needs against those pesky zombie hordes! Your C.A.T. kit will provide you and your loved ones with a heightened level of security and ensure you enjoy every moment of your stay at the end of days.Earn Slaycation Club Member’s Rewards - We like to give back to our members here at Slaycation Paradise. While touring with us, you'll earn Slaycation Club Rewards, allowing you to unlock crazy new weapons and wonderful upgrade perks. Only the best will do for our valued customers!",39.99,https://static-ca.gamestop.ca/images/products/770544/3max.jpg,,PS5
Valkyrie Elysium,"Long ago,Ragnarok—the End Times—loomed upon the realms. The All-Father, with the last of his strength, created an emissary of redemption; her sole task the salvation of a doomed world.And thence began the tale of a new Valkyrie...",79.99,https://static-ca.gamestop.ca/images/products/771749/3max.jpg,54.99,PS5
FIFA 23,"FIFA WORLD CUP™
Experience the pinnacle of both men’s and women’s international football in FIFA 23 with the FIFA World Cup Qatar 2022™ & FIFA Women’s World Cup Australia and New Zealand 2023™*.
*more information on the FIFA Women’s World Cup Australia & New Zealand 2023™ to follow in the build-up to the tournament.
FIFA World Cup Qatar 2022™
Experience the drama and excitement of sport’s greatest tournament as the men’s FIFA World Cup™ comes to FIFA 23 as a post-launch update* in November 2022 at no additional cost.
Get the ultimate connection to the tournament throughout FIFA 23, with authentic FIFA World Cup™ presentation, cinematics, and all 32 qualified nations in authentic, online, custom, and live tournament modes as well as special content in FIFA 23 Ultimate Team™.
Presentation
FIFA 23 gives you the immersive FIFA World Cup™ experience with stadium dressings, match ball, additional player head scans, the iconic trophy, and two stadiums including the venue for the Final. Plus enjoy dedicated FIFA World Cup™ commentary alongside visuals and cinematics that get you closer to the atmosphere of the biggest tournament in world sport.
GAME MODES
The FIFA World Cup™, your way. Play across multiple modes, with custom and live tournament modes and a full Season of FIFA World Cup™-inspired content to help you build your dream squad in FIFA Ultimate Team™.
FIFA World Cup™: Live
Follow and play the tournament as it progresses with authentic fixtures and squads for each game, or rewrite the outcome of any past match in FIFA World Cup™: Live. Play the upcoming fixtures each day or any past match with authentic lineups, group standings, and results, or rewrite the outcome of any match to change the destination of the iconic trophy.
Results, fixtures, statistics, and line-ups are updated at the end of real-life matchdays[1], with new matches unlocked each day as the tournament progresses for you to play in Your FIFA World Cup™, Featured Quickplay, and Online Quickplay:
Your FIFA World Cup™
Choose a nation, select a live starting point from past or current match days, and play an authentic single player tournament inheriting all the real world progress made to date – including the line-ups, match stats, and standings from the tournament so far – and take control of your chosen Nation’s FIFA World Cup™ fate. The Your FIFA World Cup™ mode will be available after the first fixture on Match Day 1.
Featured Quickplay
Choose a past or current match day and play an authentic single player fixture with real-life lineups against the CPU or a friend locally.
Online Quickplay
Choose a past or current match day and play against friends in an online match with real-life lineups.
Tournament Mode
Single Player tournament mode allows you to play as one of the 32 qualified nations in an authentic recreation of the full tournament from the opening match onwards, or customise your tournament experience by changing groups and substituting in teams that didn’t make it to the FIFA World Cup™ Finals in a Custom Tournament. In Online Tournament Mode, make your way through the Knockout Stages as any of the 32 qualified nations as you aim for FIFA World Cup™ glory against other players from around the world.
Kick Off
Play a kick off match against friends locally, or against the AI. Select from Group Stage or a Knockout Round match, choose qualified or unqualified teams, and play a one-off local FIFA World Cup™ match.
FIFA Ultimate Team™
Get the ultimate connection to the FIFA World Cup™ with a full Season of daily content, including special Player Items, Objectives, and more.",44.99,https://static-ca.gamestop.ca/images/products/772084/3max.jpg,,PS5
Dakar Desert Rally - Gamestop Exclusive,"Dakar Desert Rally is the biggest and most epic off-road rally racing adventure ever developed. Dakar Desert Rally captures the genuine speed and excitement of Amaury Sport Organisation’s largest rally race on the planet, featuring a wide variety of licensed vehicles from the world’s top makers, including motorcycles, cars, trucks, quads and SSVs. The game offers unique challenges for off-road simulation diehards and casual racing fans alike. Compete in fierce online multiplayer races or navigate the vast wilds in single-player offline.Authentic Dakar Rally ExperienceOver 30 stages of full rally racing from the official 2020 and 2021 Dakar Rally races with officially licensed vehicles, teams and pilots across multiplayer and single-player modes. All across an immense open world that doesn’t limit you to tracks and roads. The game also supports a wide array of steering wheels for the ultimate driving experience.Seasons and Dynamic WeatherFeaturing all four seasons and a full day-night cycle. Whether facing billowing sandstorms, blazing desert sunlight, grueling rain and snow, or deep mud, you’ll need to overcome the elements and your competition to win.Rescue & RepairIn true Dakar fashion, you can tow and rescue a competitor out of a jam for extra repair points. Who knows -- you might need the favor returned down the road.",29.99,https://static-ca.gamestop.ca/images/products/772852/3max.jpg,,PS5
Nickelodeon Kart Racers 3,"The next generation of Nickelodeon Kart Racers is here!Rebuilt and re-imagined from the ground up, Nickelodeon Kart Racers returns - bigger and better than ever! Featuring a fully voice acted cast of over 40 iconic characters, drift, slide and boost your way to the finish line on tracks inspired by legendary Nickelodeon shows like SpongeBob SquarePants, Teenage Mutant Ninja Turtles, Avatar: The Last Airbender and more!A fully voice acted cast of over 40 charactersTransform your kart or new bike into watercrafts to navigate all new terrainUntold new levels of customization: Pair Raphael with the Reptar mobile, change paint jobs and parts, or dive into millions of other possible combinations!90 crew members to choose from to match your playstyle with unique special abilitiesIntense Slime-filled alternate paths on 36 different tracks, new and oldFace off directly with fellow racers in a mayhem-filled arena modeIntense split-screen local and online multi-player!",39.99,https://static-ca.gamestop.ca/images/products/772396/3max.jpg,,PS5
Ghostbusters: Spirits Unleashed,"Ghostbusters: Spirits Unleashed is a fun, multiplayer game perfect for all skill levels. Four proton pack wielding Ghostbusters attempt to catch a Ghost haunting unique locations in asymmetrical multiplayer battles (online or offline). As players progress, they will unlock cosmetics and upgrades for both Ghostbusters and Ghosts to evolve their gameplay experiences. The look and feel will deliver to fans an immersive experience in the universe, allowing them to play out their Ghostbusting fantasies. Whether hunting or haunting, the game is easy to learn and fun to master!This is an asymmetrical game of hide and seek. In true form to IllFonic’s past titles, this title is a 4v1 setup where players will either play as part of a team of new Ghostbusters or a singular Ghost. This game will allow players to enjoy the game solo or with up to four friends. It will have an online and offline single-player mode available in the form of AI assisted play.Ghostbusters: Spirits Unleashed has all the iconic gear and gadgets, from Proton Packs to PKE Meters and Ghost Traps, that fans would expect and new gamers to the universe will enjoy when playing as a Ghostbuster. Ghosts have multiple abilities in their arsenal, like possessing objects, of course sliming, and more, that make haunting all the various locations a blast to play. In addition, many will recognize the Firehouse and Ray’s Occult Books that act as the game’s hub. This is where players will choose missions, customize their characters, practice firing their proton packs, and explore all there is to learn. And yes, you will hear the original film actors reprising their roles as Ray Stantz and Winston Zeddemore, along with some new friends!",49.99,https://static-ca.gamestop.ca/images/products/772710/3max.jpg,39.99,PS5
Them's Fightin' Herds - Deluxe Edition,"Them’s Fightin’ Herds is a 2D fighting game featuring a cast of adorable animals designed by acclaimed cartoon producer Lauren Faust. Beneath the cute and cuddly surface, a serious fighter awaits!4-Button Fighting - A (Light), B (Medium), C (Heavy), D (Magic).Magic System - Emphasize your character’s special abilities through a dedicated button and unique resource.Enhanced Super Attack - Spend an additional bar of meter during your super for a bonus utility effect.Juggle Decay - An infinite-prevention system that increases a character's gravity the longer they stay in a combo, managing combo length without imposing hard limits.Dynamic Music System - Rockin’ character themes adapt in the heat of the battle to make every fight feel like a clash of champions.Rollback Netcode - Battle across the globe with little to no input delay with the power of GGPO.",39.99,https://static-ca.gamestop.ca/images/products/771346/3max.jpg,32.99,PS5
A Plague Tale Requiem,"Embark on an emotional and breathtaking journey in the sequel to the award-winning A Plague Tale: Innocence. Follow Amicia and her brother Hugo, as they do whatever it takes to survive a brutal, uncaring world.A Plague Tale: Requiem will be releasing on PlayStation 5, Xbox Series X|S, PC and in Cloud Version on Nintendo Switch in 2022.",79.99,https://static-ca.gamestop.ca/images/products/769180/3max.jpg,65.99,PS5
Gotham Knights Collector’s Edition (Web Only),"Game Overview:
Gotham Knights is a brand-new open world, third-person action RPG featuring the Batman Family as players step into the roles of Batgirl, Nightwing, Red Hood and Robin, a new guard of trained DC Super Heroes who must rise up as the protectors of Gotham City in the wake of Batman’s death. An expansive, criminal underworld has swept through the streets of Gotham, and it is now up to these new heroes to protect the city, bring hope to its citizens, discipline to its cops and fear to its criminals. Players must save Gotham from descent into chaos and reinvent themselves into their own version of the Dark Knight.
Features:

Play as a New Guard of DC Super Heroes – Step into the roles of Batgirl, Nightwing, Red Hood and Robin and shape Gotham’s newest protector to create your own version of the Dark Knight.


Action-Packed, Original Story Set in DC’s Batman Universe – With the Belfry as their base of operations, this new era of heroes will solve mysteries that connect the darkest chapters in Gotham’s history – from its soaring towers to its underground criminal network. Embark on rich storylines, including face-offs against some of the most infamous DC Super-Villains, such as Mr. Freeze, who is set on engulfing Gotham City in ice, and the mysterious Court of Owls, a secret society made up of Gotham City’s wealthiest families.


Explore and Fight Crime in an Open-World Gotham City – Patrol the dark streets of five distinct boroughs in a dynamic, interactive Gotham using a variety of traversal abilities and heroic combat moves, as well as the iconic Batcycle. From street-level crimefighting to face-offs with iconic DC Super-Villains, save the city from descent into chaos.


Unique Character Abilities and Customization – Each hero has unique abilities, gear, weapons and a customizable suit. Batgirl wields her melee tonfa Nightwing uses his signature dual escrima sticks; Red Hood has trained to reach peak human strength; and Robin is expertly skilled with his collapsible quarter staff.


Team Up in Two-Player, Online Co-Op – Play Gotham Knights solo or team up with a friend and combine strengths to protect Gotham City in two-player, online co-op.

Join the Conversation:
To learn more about Gotham Knights, visit gothamknightsgame.com or join the community conversation on Twitter (@GothamKnights), YouTube (GothamKnights), Instagram (@GothamKnights), Facebook (GothamKnights), Discord (GothamKnights).",399.99,https://static-ca.gamestop.ca/images/products/770593/3max.jpg,,PS5
Gotham Knights Deluxe Edition,"Game Overview:
Gotham Knights is a brand-new open world, third-person action RPG featuring the Batman Family as players step into the roles of Batgirl, Nightwing, Red Hood and Robin, a new guard of trained DC Super Heroes who must rise up as the protectors of Gotham City in the wake of Batman’s death. An expansive, criminal underworld has swept through the streets of Gotham, and it is now up to these new heroes to protect the city, bring hope to its citizens, discipline to its cops and fear to its criminals. Players must save Gotham from descent into chaos and reinvent themselves into their own version of the Dark Knight.
Features:

Play as a New Guard of DC Super Heroes – Step into the roles of Batgirl, Nightwing, Red Hood and Robin and shape Gotham’s newest protector to create your own version of the Dark Knight.


Action-Packed, Original Story Set in DC’s Batman Universe – With the Belfry as their base of operations, this new era of heroes will solve mysteries that connect the darkest chapters in Gotham’s history – from its soaring towers to its underground criminal network. Embark on rich storylines, including face-offs against some of the most infamous DC Super-Villains, such as Mr. Freeze, who is set on engulfing Gotham City in ice, and the mysterious Court of Owls, a secret society made up of Gotham City’s wealthiest families.


Explore and Fight Crime in an Open-World Gotham City – Patrol the dark streets of five distinct boroughs in a dynamic, interactive Gotham using a variety of traversal abilities and heroic combat moves, as well as the iconic Batcycle. From street-level crimefighting to face-offs with iconic DC Super-Villains, save the city from descent into chaos.


Unique Character Abilities and Customization – Each hero has unique abilities, gear, weapons and a customizable suit. Batgirl wields her melee tonfa Nightwing uses his signature dual escrima sticks; Red Hood has trained to reach peak human strength; and Robin is expertly skilled with his collapsible quarter staff.


Team Up in Two-Player, Online Co-Op – Play Gotham Knights solo or team up with a friend and combine strengths to protect Gotham City in two-player, online co-op.

Join the Conversation:
To learn more about Gotham Knights, visit gothamknightsgame.com or join the community conversation on Twitter (@GothamKnights), YouTube (GothamKnights), Instagram (@GothamKnights), Facebook (GothamKnights), Discord (GothamKnights).",79.99,https://static-ca.gamestop.ca/images/products/770588/3max.jpg,,PS5
Gotham Knights,"Game Overview:
Gotham Knights is a brand-new open world, third-person action RPG featuring the Batman Family as players step into the roles of Batgirl, Nightwing, Red Hood and Robin, a new guard of trained DC Super Heroes who must rise up as the protectors of Gotham City in the wake of Batman’s death. An expansive, criminal underworld has swept through the streets of Gotham, and it is now up to these new heroes to protect the city, bring hope to its citizens, discipline to its cops and fear to its criminals. Players must save Gotham from descent into chaos and reinvent themselves into their own version of the Dark Knight.
Features:

Play as a New Guard of DC Super Heroes – Step into the roles of Batgirl, Nightwing, Red Hood and Robin and shape Gotham’s newest protector to create your own version of the Dark Knight.


Action-Packed, Original Story Set in DC’s Batman Universe – With the Belfry as their base of operations, this new era of heroes will solve mysteries that connect the darkest chapters in Gotham’s history – from its soaring towers to its underground criminal network. Embark on rich storylines, including face-offs against some of the most infamous DC Super-Villains, such as Mr. Freeze, who is set on engulfing Gotham City in ice, and the mysterious Court of Owls, a secret society made up of Gotham City’s wealthiest families.


Explore and Fight Crime in an Open-World Gotham City – Patrol the dark streets of five distinct boroughs in a dynamic, interactive Gotham using a variety of traversal abilities and heroic combat moves, as well as the iconic Batcycle. From street-level crimefighting to face-offs with iconic DC Super-Villains, save the city from descent into chaos.


Unique Character Abilities and Customization – Each hero has unique abilities, gear, weapons and a customizable suit. Batgirl wields her melee tonfa Nightwing uses his signature dual escrima sticks; Red Hood has trained to reach peak human strength; and Robin is expertly skilled with his collapsible quarter staff.


Team Up in Two-Player, Online Co-Op – Play Gotham Knights solo or team up with a friend and combine strengths to protect Gotham City in two-player, online co-op.

Join the Conversation:
To learn more about Gotham Knights, visit gothamknightsgame.com or join the community conversation on Twitter (@GothamKnights), YouTube (GothamKnights), Instagram (@GothamKnights), Facebook (GothamKnights), Discord (GothamKnights).",39.99,https://static-ca.gamestop.ca/images/products/770582/3max.jpg,,PS5
Call Of Duty Modern Warfare II,"Includes:
- Call of Duty®: Modern Warfare® II
-- Includes PS5™ version of the game
Welcome to the new era of Call of Duty® 

Call of Duty®: Modern Warfare® II is the sequel to 2019’s blockbuster Modern Warfare®. Featuring the return of the iconic, team leader Captain John Price, the fearless John ""Soap"" MacTavish, the seasoned Sergeant Kyle ""Gaz” Garrick, and the lone wolf himself, fan favorite Simon “Ghost” Riley, players will witness what makes Task Force 141 the legendary squad it is today.
From small-scale, high-stakes infiltration tactics to highly classified missions, players will need to leverage new weapons, vehicles, and cutting-edge equipment to take on their enemies. Gear up and take the fight offshore as you siege enemies underwater, breach a highly fortified enemy base, infil along the canals, and liberate much-needed allies at a black site hidden within the mountains.
Infinity Ward will immerse fans in heart-pounding next-gen, state-of-the-art gameplay. Fight alongside friends in a truly immersive experience with stunningly realistic sound, lighting, and graphics that produce the most advanced Call of Duty in history. Modern Warfare® II will feature a rebuilt, advanced AI system, enhanced rendering and photogrammetry technology, a new Gunsmith system, allowing for more customization than ever before, and a suite of other gameplay and graphical innovations that elevate the franchise to new heights. The future of the franchise is filled with trail blazing innovations and sets the foundation for next-generation gameplay.
Modern Warfare II will feature a massive amount of content from day 1 – squad up and fight alongside TF141 in a globe-trotting single-player campaign, play lone-gun or rally with your team in immersive multiplayer combat, complete with new locales and ways to play, and experience an evolved, narrative-driven Special Ops game mode featuring tactical co-op gameplay. 

Additionally, Modern Warfare II connects with the new Warzone™ experience releasing this year, and with it, the evolution in Battle Royale with a brand-new play space and sandbox mode. Expect a massive calendar of free content post-launch featuring evolving gameplay with new maps, modes, seasonal events, community celebrations and more.
Stay Frosty.

 
** While Supplies Last",89.99,https://static-ca.gamestop.ca/images/products/771260/3max.jpg,,PS5
God of War Ragnarök Jötnar Edition For PS4/PS5 Consoles,"God of War Ragnarök Jötnar Edition includes a voucher code for the full God of War Ragnarök game on PlayStation®4 and PlayStation®5 consoles and a voucher code for the additional digital content.

Embark on an epic and heartfelt journey as Kratos and Atreus struggle with holding on and letting go.

Against a backdrop of Norse Realms torn asunder by the fury of the Aesir, they’ve been trying their utmost to undo the end times. But despite their best efforts, Fimbulwinter presses onward. 

Witness the changing dynamic of the father-son relationship as they fight for survival; Atreus thirsts for knowledge to help him understand the prophecy of “Loki”, as Kratos struggles to break free of his past and be the father his son needs.

See for yourself how fate will force a choice upon them: between their own safety or the safety of the realms. All the while, hostile Asgardian forces assemble… 


Venture through all Nine Realms towards the prophesied battle that will end the world.
Vanquish Norse gods and monsters alike in fluid, expressive combat.
Explore in wonder through stunning mythological landscapes.


Those Who Break Fate

Atreus hungers for knowledge to help him understand the prophecy of “Loki” and the role he is to play in Ragnarök. Kratos must decide whether he will be chained by the fear of repeating his mistakes or break free of his past to be the father Atreus needs. 

Weapons of War
 
The Leviathan Axe, Blades of Chaos, and Guardian Shield return alongside a host of new abilities for both Kratos and Atreus. As they take on foes throughout the Nine Realms, Kratos’ deadly skills will be tested like never before as he fights to protect his family. 

Explore the Realms
 
Journey to dangerous and stunning landscapes while facing a wide variety of enemy creatures, monsters, and Norse gods as Kratos and Atreus search for answers and allies. 


Venture through all Nine Realms towards the prophesied battle that will end the world.
Vanquish Norse gods and monsters alike in fluid, expressive combat.


PLAYSTATION®5 IN-GAME FEATURES:


Feel your journey through the Norse realms, made possible by immersive haptic feedback and adaptive trigger functionality.

Take advantage of multidirectional 3D Audio; hear enemies approaching from any direction.¹ 

Bask in the beautiful worlds you travel through, brought to life by precise art direction and arresting attention to detail.  
- Switch between full 4K resolution at a targeted 30 frames per second, or dynamic resolution upscaled to 4K at a targeted 60fps.²

¹3D audio with stereo headphones (analog or USB)


² 4K resolution requires a compatible 4K TV or display.

Includes:

Physical items:


Full Game for PS4™ and PS5™ (printed voucher)*
16 in Mjölnir (replica) Hammer
Brok’s Dice Set
7 in Vinyl (featuring Music by Bear McCreary)
Two 2 in Vanir Twins Carvings
Falcon, Bear & Wolf Pin Set
Yggdrasil Cloth Map
Legendary Draupnir Ring
Steelbook Display Case (no game disc included)
Knowledge Keeper’s Shrine
Digital Contents Voucher


Digital items:

Darkdale Armor**
Darkdale Attire (Cosmetic)** 
Darkdale Axe Grip**
Darkdale Blades Handles**
Dark Horse digital art book
Official digital soundtrack
PSN avatar set for PS4/PS5
PlayStation®4 theme


* (includes the dual entitlement bundle)


*God of War Ragnarök Jötnar Edition includes a voucher code for the full God of War Ragnarök game on PlayStation®4 and PlayStation®5 consoles and a voucher code for the additional digital content. Account for PlayStation™Network and internet connection required for code redemption.

**Unlock in-game items via story progression

©2022 Sony Interactive Entertainment LLC. God of War is a registered trademark of Sony Interactive Entertainment LLC and related companies in the U.S. and other countries. “PlayStation Family Mark”, “PlayStation”, “PlayStation Studios logo”, ""PS4"", and “PS5” are registered trademarks or trademarks of Sony Interactive Entertainment Inc.",329.99,https://static-ca.gamestop.ca/images/products/771954/3max.jpg,,PS5
Persona 5 Royal - Standard Edition,"Prepare for an all-new RPG experience in Persona 5 Royal based in the universe of the award-winning series, Persona! Don the mask of Joker and join the Phantom Thieves of Hearts. Break free from the chains of modern society and stage grand heists to infiltrate the minds of the corrupt and make them change their ways! Persona 5 Royal is packed with new characters, confidants, story depth, new locations to explore, and a new grappling hook mechanic for stealthy access to new areas. With a new semester at Shujin Academy, get ready to strengthen your abilities in the metaverse and in your daily life. Persona 5 Royal presents a unique visual style and award nominated composer Shoji Meguro returns with an all-new soundtrack. Explore Tokyo, unlock new Personas, customize your own personal Thieves Den, discover a never-before-seen story arc, cutscenes, alternate endings, and more!Even for the most seasoned Phantom Thieves among us, Persona 5 Royal  is a new challenge to defy conventions, discover the power within, and fight  for justice.
Wear the mask. Reveal your truth.",79.99,https://static-ca.gamestop.ca/images/products/774091/3max.jpg,65.99,PS5
My Fantastic Ranch,"Take riding, flying and aerobatics lessons on the back of unicorns and dragons!
Train dragons and unicorns in your fantastic ranch. Build the perfect ranch to raise these magical creatures and become the best trainer in the enchanted kingdom!Take care of your fantastic creatures:Build the facilities you need to take care of your unicorns and dragons. Take care of their everyday well-being and ensure they have an environment where they can thrive. Hire staff to feed and look after them. Remember: they sometimes need to rest, otherwise they are prone to silliness.Give fun lessons:Kids will come to your ranch to take lessons with your animals. Build an arena for students to practise riding their favourite dragon or unicorn, a hoop course for practising aerobatics and flying, and much more.Become the most famous ranch in the kingdom:Earn gems to upgrade your buildings, decorate your ranch and adopt more magical creatures. The more your ranch's reputation grows, the more students will want to enrol in lessons and enter tournaments. Pair riders with their favourite magical steed to create the best duos, and impress the Prince and Princess of the kingdom during festivals.A colourful and fun game for all ages:My Fantastic Ranch is an easy-to-play game with a unique design. It is perfect as an introduction to management simulation games and for being immersed in a fantasy world filled with the most adorable creatures.",49.99,https://static-ca.gamestop.ca/images/products/772956/3max.jpg,39.99,PS5
Marvels Midnight Suns Enhanced Edition,"Product Description:
The Enhanced Edition includes:

Marvel’s Midnight Suns base game
Enhanced Premium Pack (featuring 5 premium skins)

Premium Skins include:

Captain America (Future Soldier)
Captain Marvel (Mar-Vell)
Magik (Phoenix 5)
Nico Minoru (Sister Grimm)
Wolverine (X-Force)

When the underworld army of the ancient demoness Lilith rises, it’s time to unleash Marvel’s darker side! As The Hunter, a supernatural warrior with a mysterious past, you awaken after centuries of slumber to lead a hot-tempered team of dangerous and conflicted heroes. Can you stand alongside legends like Captain America and Doctor Strange? Can you forge Blade, Magik, Nico and Ghost Rider into a deadly team? If you’re going to save the world, the Midnight Suns must rise again! With hundreds of combinations of upgradeable characters and skills, and the ability to build your own unique version of The Hunter, you will choose how to send Lilith's army back to hell.
Note: Premium skins must be used with the equivalent in-game character. Characters may require unlocking through gameplay. For digital orders, the Premium skins will be automatically delivered in-game by 1 December 2022. Terms apply.

Bullet Points:

Fight the legions of Lilith in style with the Marvel’s Midnight Suns Enhanced Edition!
Darkness Falls. Rise Up!
When the underworld army of the ancient demoness Lilith rises, it’s time to unleash Marvel’s darker side!
Fight and strategize like a Super Hero against the darkest corners of the Marvel Universe.",89.99,https://static-ca.gamestop.ca/images/products/771207/3max.jpg,,PS5
